frame_filename,timestamp_iso,unix_time,lat,lon,alt,water_depth,heading,pitch,roll,easting,northing,depth,utm_zone,video_filename,frame_index,CO2 Concentration
2026_01_18T13_53_58_20260118T135401_585.jpg,2026-01-18T13:54:01.585829,1768744441.5858293,9.787837040409027,-104.2844367313366,4.7,-2503.56785829258,110.22973044013978,-11.883585829257965,63.66193204975128,578474.7924359184,1082038.4644635692,2503.56785829258,13P,2026_01_18T13_53_58.MP4,107,1068.421
2026_01_18T13_53_58_20260118T135407_107.jpg,2026-01-18T13:54:07.107335,1768744447.1073358,9.787836071752913,-104.28443261413135,4.8,-2503.622073358059,109.63962240457535,-11.889107335805893,63.139695762634275,578475.2442135646,1082038.3583177133,2503.622073358059,13P,2026_01_18T13_53_58.MP4,273,1072.4735976109505
2026_01_18T13_53_58_20260118T135412_486.jpg,2026-01-18T13:54:12.486512,1768744452.486513,9.787835112427677,-104.28442851078968,4.7,-2503.675865128994,109.07191614556312,-11.8954865128994,62.61980824875832,578475.6944685464,1082038.2532003522,2503.675865128994,13P,2026_01_18T13_53_58.MP4,434,1066.434
2026_01_18T13_53_58_20260118T135417_790.jpg,2026-01-18T13:54:17.790784,1768744457.7907848,9.787834139750881,-104.28442436737214,4.8,-2503.7299078483584,108.5197583770752,-11.900790784835815,62.09792151641845,578476.1491219467,1082038.1466160426,2503.7299078483584,13P,2026_01_18T13_53_58.MP4,593,1073.5380679092407
2026_01_18T13_53_58_20260118T135423_459.jpg,2026-01-18T13:54:23.459483,1768744463.4594834,9.787833082698157,-104.28441993241329,4.8,-2503.789594833851,107.93813269472122,-11.907459483385086,61.529592178106306,578476.6357696529,1082038.0307701572,2503.789594833851,13P,2026_01_18T13_53_58.MP4,763,1075.518
2026_01_18T13_53_58_20260118T135429_074.jpg,2026-01-18T13:54:29.074894,1768744469.0748944,9.787832005770058,-104.28441554008445,4.775610566139221,-2503.8497489442825,107.36951055717468,-11.914074894428254,60.95528587388993,578477.1177466228,1082037.9127167242,2503.8497489442825,13P,2026_01_18T13_53_58.MP4,931,1077.380536222458
2026_01_18T13_53_58_20260118T135434_280.jpg,2026-01-18T13:54:34.280211,1768744474.280212,9.787830993957614,-104.28441137583046,4.7,-2503.9060823311806,106.85025901937485,-11.920560423851013,60.41257774782181,578477.5746944394,1082037.8018100432,2503.9060823311806,13P,2026_01_18T13_53_58.MP4,1087,1078.3917180199624
2026_01_18T13_53_58_20260118T135439_495.jpg,2026-01-18T13:54:39.495955,1768744479.4959557,9.78782995080886,-104.28440710323544,4.766395568847656,-2503.9634555127623,106.33739634084701,-11.927495955705643,59.85993273949623,578478.0435318056,1082037.6874637322,2503.9634555127623,13P,2026_01_18T13_53_58.MP4,1244,1067.9560422706604
2026_01_18T13_53_58_20260118T135444_722.jpg,2026-01-18T13:54:44.722810,1768744484.7228107,9.787828895437851,-104.28440282175141,4.8,-2504.0226737289427,105.83061016845703,-11.934722810745239,59.29593643951416,578478.5133469354,1082037.571768078,2504.0226737289427,13P,2026_01_18T13_53_58.MP4,1400,1070.337
2026_01_18T13_53_58_20260118T135450_003.jpg,2026-01-18T13:54:50.003966,1768744490.0039668,9.78782779916697,-104.28439839682656,4.8,-2504.0830476017,105.32562315320968,-11.943003966808318,58.71655968427658,578478.998903399,1082037.4515835221,2504.0830476017,13P,2026_01_18T13_53_58.MP4,1559,1069.401239830017
2026_01_18T13_53_58_20260118T135454_675.jpg,2026-01-18T13:54:54.675898,1768744494.675898,9.787826818061404,-104.28439445928154,4.8,-2504.1374348788263,104.88546558094025,-11.949351796150207,58.19529941558838,578479.4309799433,1082037.3440193373,2504.1374348788263,13P,2026_01_18T13_53_58.MP4,1699,1078.1963763742447
2026_01_18T13_53_58_20260118T135459_523.jpg,2026-01-18T13:54:59.523058,1768744499.5230582,9.787825780157783,-104.28439032924764,4.7,-2504.1952766981126,104.43587864780426,-11.957046116352082,57.646371367931366,578479.8841808449,1082037.2302198051,2504.1952766981126,13P,2026_01_18T13_53_58.MP4,1844,1077.1236612813473
2026_01_18T13_53_58_20260118T135504_653.jpg,2026-01-18T13:55:04.653764,1768744504.653765,9.787824656171708,-104.28438591161152,4.7,-2504.256845179558,103.96650738835335,-11.9653075299263,57.0551632642746,578480.368944441,1082037.1069690918,2504.256845179558,13P,2026_01_18T13_53_58.MP4,1998,1072.9094609093665
2026_01_18T13_53_58_20260118T135509_443.jpg,2026-01-18T13:55:09.443787,1768744509.443787,9.787823597928968,-104.28438180059162,4.6,-2504.3153254451754,103.53505916118623,-11.972887574195862,56.495633122444154,578480.8200647845,1082036.99091624,2504.3153254451754,13P,2026_01_18T13_53_58.MP4,2141,1068.978
2026_01_18T13_53_58_20260118T135514_160.jpg,2026-01-18T13:55:14.160045,1768744514.160046,9.787822533189397,-104.28437765595851,4.7,-2504.3739205532074,103.11691594314576,-11.981160046100616,55.93595451402664,578481.2748731523,1082036.874152865,2504.3739205532074,13P,2026_01_18T13_53_58.MP4,2283,1066.411837264538
2026_01_18T13_53_58_20260118T135519_078.jpg,2026-01-18T13:55:19.078285,1768744519.078286,9.787821411211375,-104.28437323737126,4.7,-2504.4359394311905,102.68718912386895,-11.989156571865083,55.34444911623001,578481.7597405969,1082036.7511244216,2504.4359394311905,13P,2026_01_18T13_53_58.MP4,2430,1073.0041236379147
2026_01_18T13_53_58_20260118T135524_075.jpg,2026-01-18T13:55:24.075883,1768744524.0758832,9.787820242546875,-104.28436883170517,4.7,-2504.499986480951,102.25754993224143,-11.9981517663002,54.73359048938752,578482.2432018964,1082036.6229308369,2504.499986480951,13P,2026_01_18T13_53_58.MP4,2580,1078.6003892788885
2026_01_18T13_53_58_20260118T135528_462.jpg,2026-01-18T13:55:28.462113,1768744528.4621136,9.787819203713868,-104.28436478409773,4.662611365318298,-2504.557007477045,101.88718245601655,-12.0069242272377,54.18923579764366,578482.6873630008,1082036.5090093797,2504.557007477045,13P,2026_01_18T13_53_58.MP4,2711,1073.2017704353334
2026_01_18T13_53_58_20260118T135532_789.jpg,2026-01-18T13:55:32.789191,1768744532.7891915,9.787818162702129,-104.28436088972767,4.6953191518783575,-2504.613259489298,101.52649710679054,-12.014578382968903,53.64656187295913,578483.1147184656,1082036.3948113373,2504.613259489298,13P,2026_01_18T13_53_58.MP4,2841,1069.334349099636
2026_01_18T13_53_58_20260118T135536_863.jpg,2026-01-18T13:55:36.863980,1768744536.86398,9.787817172644786,-104.28435712241794,4.6027952139074495,-2504.668095720768,101.19215363550185,-12.02272796010971,53.12827453303337,578483.5281267575,1082036.2862177524,2504.668095720768,13P,2026_01_18T13_53_58.MP4,2963,1078.237429558754
2026_01_18T13_53_58_20260118T135541_079.jpg,2026-01-18T13:55:41.079127,1768744541.0791278,9.787816130218053,-104.28435322087222,4.775787210464477,-2504.725028661251,100.85166977691651,-12.031158255577088,52.585713387489314,578483.9562695465,1082036.1718649343,2504.725028661251,13P,2026_01_18T13_53_58.MP4,3089,1071.916
2026_01_18T13_53_58_20260118T135544_928.jpg,2026-01-18T13:55:44.928647,1768744544.9286475,9.78781516783812,-104.2843495713525,4.690835237503052,-2504.777072417736,100.54563684606553,-12.038857295036316,52.08434717512131,578484.3567528466,1082036.0663042257,2504.777072417736,13P,2026_01_18T13_53_58.MP4,3205,1071.0509381566046
2026_01_18T13_53_58_20260118T135548_740.jpg,2026-01-18T13:55:48.740081,1768744548.7400815,9.787814207578798,-104.28434595991845,4.590308165550232,-2504.830361141682,100.24627363920212,-12.047480163097381,51.582309235572815,578484.753058645,1082035.960969128,2504.830361141682,13P,2026_01_18T13_53_58.MP4,3319,1068.223
2026_01_18T13_53_58_20260118T135553_249.jpg,2026-01-18T13:55:53.249042,1768744553.2490425,9.787813055248947,-104.28434167586174,4.558795738220215,-2504.892735637665,99.89807276916504,-12.056498085021971,50.981628303527835,578485.2231787461,1082035.8345533863,2504.892735637665,13P,2026_01_18T13_53_58.MP4,3454,1077.4053908462524
2026_01_18T13_53_58_20260118T135557_284.jpg,2026-01-18T13:55:57.284128,1768744557.2841282,9.787812006126671,-104.28433781587181,4.5,-2504.949977794647,99.59169038581848,-12.065568256378173,50.43735856628418,578485.6467655315,1082035.7194505804,2504.949977794647,13P,2026_01_18T13_53_58.MP4,3575,1074.6711702957152
2026_01_18T13_53_58_20260118T135600_493.jpg,2026-01-18T13:56:00.493774,1768744560.4937742,9.787811161618714,-104.28433470622582,4.503267765045166,-2504.995912838459,99.35146071100235,-12.072987548351287,50.00035293793678,578485.9880110655,1082035.6267972963,2504.995912838459,13P,2026_01_18T13_53_58.MP4,3671,1074.3865217533112
2026_01_18T13_53_58_20260118T135603_099.jpg,2026-01-18T13:56:03.099421,1768744563.099422,9.787810473156068,-104.28433211052021,4.526142191886902,-2505.03349132967,99.15874219560622,-12.07829826593399,49.642279767036435,578486.272854078,1082035.5512782983,2505.03349132967,13P,2026_01_18T13_53_58.MP4,3749,1067.593
2026_01_18T13_53_58_20260118T135606_745.jpg,2026-01-18T13:56:06.745939,1768744566.7459395,9.787809488596338,-104.28432855406051,4.690693950653077,-2505.086443152905,98.89329235649109,-12.087237818479538,49.13731441044807,578486.6631363402,1082035.4432435133,2505.086443152905,13P,2026_01_18T13_53_58.MP4,3859,1065.129
2026_01_18T13_53_58_20260118T135610_544.jpg,2026-01-18T13:56:10.544750,1768744570.5447507,9.787808462917313,-104.28432480972438,4.9,-2505.1426265096666,98.62032270097733,-12.09608950138092,48.60519015264511,578487.0740334134,1082035.3307059156,2505.1426265096666,13P,2026_01_18T13_53_58.MP4,3972,1074.197
2026_01_18T13_53_58_20260118T135614_296.jpg,2026-01-18T13:56:14.296353,1768744574.296353,9.787807437021131,-104.28432110364689,4.654364681243896,-2505.1984452965257,98.35525528287887,-12.10459270620346,48.07491785955429,578487.4807345661,1082035.2181354002,2505.1984452965257,13P,2026_01_18T13_53_58.MP4,4085,1062.4992077376842
2026_01_18T13_53_58_20260118T135617_968.jpg,2026-01-18T13:56:17.968052,1768744577.9680524,9.787806418945332,-104.28431743194761,4.4,-2505.2535207858086,98.1002043852806,-12.113904157161713,47.55056850862503,578487.8836634875,1082035.106421585,2505.2535207858086,13P,2026_01_18T13_53_58.MP4,4195,1070.283
2026_01_18T13_53_58_20260118T135621_994.jpg,2026-01-18T13:56:21.994902,1768744581.9949024,9.787805291427336,-104.28431330509763,4.284509754180908,-2505.3149184379577,97.8253466386795,-12.123984707117081,46.96873915600777,578488.3365363022,1082034.982712722,2505.3149184379577,13P,2026_01_18T13_53_58.MP4,4316,1071.1318863413333
2026_01_18T13_53_58_20260118T135626_046.jpg,2026-01-18T13:56:26.046323,1768744586.046323,9.787804147029544,-104.28430915367693,4.2,-2505.376741168976,97.5539426779747,-12.13409264612198,46.37719051003456,578488.7921078475,1082034.8571431825,2505.376741168976,13P,2026_01_18T13_53_58.MP4,4437,1073.4586748805045
2026_01_18T13_53_58_20260118T135630_059.jpg,2026-01-18T13:56:30.059414,1768744590.0594144,9.787802993363972,-104.28430504058561,4.321841430664063,-2505.438950630188,97.2911380648613,-12.144178243160248,45.785206670761106,578489.2434778404,1082034.7305399806,2505.438950630188,13P,2026_01_18T13_53_58.MP4,4557,1069.3684517292977
2026_01_18T13_53_58_20260118T135633_644.jpg,2026-01-18T13:56:33.644559,1768744593.64456,9.78780195663197,-104.2843013554399,4.580356001853943,-2505.4953129615787,97.05974815368653,-12.153933680295944,45.25131598520279,578489.6478858795,1082034.6167664928,2505.4953129615787,13P,2026_01_18T13_53_58.MP4,4665,1070.3869933624267
2026_01_18T13_53_58_20260118T135637_769.jpg,2026-01-18T13:56:37.769782,1768744597.769782,9.787800749065381,-104.28429705323973,4.6,-2505.5603165130615,96.79850372982025,-12.16453956413269,44.629993125915526,578490.1200088547,1082034.4842474933,2505.5603165130615,13P,2026_01_18T13_53_58.MP4,4788,1075.4290702047347
2026_01_18T13_53_58_20260118T135641_709.jpg,2026-01-18T13:56:41.709756,1768744601.7097564,9.787799577073088,-104.284292919268,4.5,-2505.62335610199,96.55499510478974,-12.175129269123078,44.03040727472305,578490.5736731968,1082034.3556227786,2505.62335610199,13P,2026_01_18T13_53_58.MP4,4906,1076.482
2026_01_18T13_53_58_20260118T135645_473.jpg,2026-01-18T13:56:45.473841,1768744605.4738417,9.787798453109083,-104.28428892615834,4.5,-2505.684581466675,96.32656949996948,-12.185947683334351,43.45255454158783,578491.0118773616,1082034.2322757635,2505.684581466675,13P,2026_01_18T13_53_58.MP4,5019,1074.305
2026_01_18T13_53_58_20260118T135649_010.jpg,2026-01-18T13:56:49.010978,1768744609.0109782,9.78779738659675,-104.28428518792396,4.583202171325683,-2505.7421866297723,96.1163522849083,-12.196032934665679,42.90428739738464,578491.4221148521,1082034.1152218392,2505.7421866297723,13P,2026_01_18T13_53_58.MP4,5125,1072.539638520241
2026_01_18T13_53_58_20260118T135652_140.jpg,2026-01-18T13:56:52.140593,1768744612.1405933,9.78779642641608,-104.28428184534738,4.7,-2505.794249492645,95.93384558916091,-12.204421779870987,42.41392685341835,578491.7889340101,1082034.0098328907,2505.794249492645,13P,2026_01_18T13_53_58.MP4,5219,1082.019
2026_01_18T13_53_58_20260118T135655_694.jpg,2026-01-18T13:56:55.694664,1768744615.6946645,9.787795334654012,-104.28427800533552,4.885066437721253,-2505.852809296131,95.73040412473678,-12.215083993434906,41.85354834794998,578492.210339776,1082033.8900108095,2505.852809296131,13P,2026_01_18T13_53_58.MP4,5326,1071.9499351558686
2026_01_18T13_53_58_20260118T135659_409.jpg,2026-01-18T13:56:59.409402,1768744619.4094026,9.787794173085192,-104.28427394965713,5.0,-2505.915550441742,95.5220734539032,-12.226228207826614,41.26249558258057,578492.655414946,1082033.7625204101,2505.915550441742,13P,2026_01_18T13_53_58.MP4,5437,1069.691
2026_01_18T13_53_58_20260118T135703_178.jpg,2026-01-18T13:57:03.178558,1768744623.1785588,9.787792984646764,-104.2842698035853,4.9,-2505.9790355000496,95.31535782337188,-12.23753567647934,40.65625202894211,578493.1104102336,1082033.6320800893,2505.9790355000496,13P,2026_01_18T13_53_58.MP4,5550,1076.398
2026_01_18T13_53_58_20260118T135706_115.jpg,2026-01-18T13:57:06.115400,1768744626.1154003,9.7877920530719,-104.28426657305965,4.6,-2506.029077205658,95.15788378334045,-12.246346200942993,40.180189748764036,578493.4649336145,1082033.5298280108,2506.029077205658,13P,2026_01_18T13_53_58.MP4,5638,1073.331
2026_01_18T13_53_58_20260118T135709_336.jpg,2026-01-18T13:57:09.336591,1768744629.3365915,9.787791022290726,-104.28426302974937,4.350840854644775,-2506.084722055197,94.98849724292755,-12.256009774446488,39.65379899692536,578493.8537846276,1082033.4166795167,2506.084722055197,13P,2026_01_18T13_53_58.MP4,5734,1066.675
2026_01_18T13_53_58_20260118T135712_828.jpg,2026-01-18T13:57:12.828405,1768744632.8284056,9.787789894910203,-104.28425910591325,4.301659440994262,-2506.145911301136,94.80875131344796,-12.26731362247467,39.079313072919845,578494.2843921131,1082033.2929386385,2506.145911301136,13P,2026_01_18T13_53_58.MP4,5839,1071.6599508914946
